Line,From_Order,To_Order,From_Config,To_Config,Time_Hours,Cost_USD
Line_01,1,2,BC0.3,BC0.1,2.0,20000.0
Line_02,3,4,BC0.3,BC0.1,2.0,20000.0
Line_03,5,6,BC0.3,BC0.1,2.0,20000.0
Line_04,7,8,BC0.3,BC0.1,2.0,20000.0
Line_05,9,10,BC0.1,BC0.3,2.0,20000.0
Line_06,11,12,BC0.1,BC0.3,2.0,20000.0
Line_07,13,14,BD2.2,BC0.3,5.0,50000.0
Line_07,16,17,BC0.3,BC1.2,4.0,40000.0
Line_08,18,19,BB0.2,BB0.0,2.0,20000.0
Line_08,21,22,BB0.0,BB0.2,2.0,20000.0
Line_09,23,24,BC0.2,BD1.1,5.0,50000.0
Line_10,25,26,BC0.2,BD1.1,5.0,50000.0
Line_11,27,28,BC0.2,BD1.1,5.0,50000.0
Line_12,29,30,BC0.2,BD1.1,5.0,50000.0
Line_13,31,32,BC0.2,BD1.1,5.0,50000.0
Line_14,33,34,BC0.2,BD1.2,5.0,50000.0
Line_15,35,36,BD1.1,BB0.2,5.0,50000.0
Line_16,37,38,BD2.2,BD0.1,7.0,70000.0
Line_16,38,39,BD0.1,BA0.0,5.0,50000.0
Line_16,39,40,BD0.1,BA0.0,5.0,50000.0
Line_16,40,41,BD0.1,BD2.2,7.0,70000.0
Line_16,41,42,BD2.2,BD0.1,7.0,70000.0
Line_17,44,45,BD1.2,BD2.2,3.0,30000.0
Line_18,46,47,BD1.2,BD0.0,5.0,50000.0
Line_19,49,50,BB0.2,BD1.2,5.0,50000.0
Line_19,50,51,BD1.2,BA0.0,5.0,50000.0
Line_19,51,52,BD1.2,BA0.0,5.0,50000.0
Line_19,52,53,BD1.2,BD0.0,5.0,50000.0
