Comp D,Sub W,Flowline,TAG,CNT,1SF,0SF,TYPE,Order,Fam,FL,Line
83.57284227,85.57284227,"31-12""-PR-10-0201",31‐FT‐10‐1201,X,83.6,83,Initiation,1,F1,PR,1
86.44576323,88.44576323,"31-12""-PR-10-0201",31‐FT‐10‐0201,X,86.4,86,Laydown,2,F2,PR,1
83.57284227,85.57284227,"31-12""-PR-10-0202",31‐FT‐10‐1202,X,83.6,83,Initiation,3,F1,PR,2
86.44576323,88.44576323,"31-12""-PR-10-0202",31‐FT‐10‐0202,X,86.4,86,Laydown,4,F2,PR,2
83.57284227,85.57284227,"31-12""-PR-10-0301",31‐FT‐10‐2301,X,83.6,83,Initiation,5,F1,PR,3
86.44576323,88.44576323,"31-12""-PR-10-0301",31‐FT‐10‐1301,X,86.4,86,Laydown,6,F2,PR,3
83.57284227,85.57284227,"31-12""-PR-10-0302",31‐FT‐10‐2302,X,83.6,83,Initiation,7,F1,PR,4
86.44576323,88.44576323,"31-12""-PR-10-0302",31‐FT‐10‐1302,X,86.4,86,Laydown,8,F2,PR,4
86.44576323,88.44576323,"31-12""-PR-10-0401",31‐FT‐10‐2401,X,86.4,86,Initiation,9,F2,PR,5
83.35901019,85.35901019,"31-12""-PR-10-0401",31‐FT‐10‐3401,X,83.4,83,Laydown,10,F1,PR,5
86.44576323,88.44576323,"31-12""-PR-10-0402",31‐FT‐10‐2402,X,86.4,86,Initiation,11,F2,PR,6
83.57284227,85.57284227,"31-12""-PR-10-0402",31‐FT‐10‐3402,X,83.6,83,Laydown,12,F1,PR,6
97.32664443,99.32664443,"31-8""-GI-30-0500",31‐FT‐30‐4500,X,97.3,97,Initiation,13,F3,GI,7
82.65919611,84.65919611,"31-8""-GI-30-0400",31‐IT‐30‐3400,X,82.7,82,ILT,14,F1,GI,7
82.65919611,84.65919611,"31-8""-GI-30-0300",31‐IT‐30‐2300,X,82.7,82,ILT,15,F1,GI,7
82.65919611,84.65919611,"31-8""-GI-30-0200",31‐IT‐30‐1200,X,82.7,82,ILT,16,F1,GI,7
79.05576747,81.05576747,"31-8""-GI-30-0200",31‐FT‐30‐0200,X,79.1,79,Laydown,17,F1,GI,7
86.48157243,88.48157243,"31-10""-WI-50-0200",31‐FT‐50‐0200,X,86.5,86,Initiation,18,F2,WI,8
88.89920499,90.89920499,"31-10""-WI-50-0200",31‐IT‐50‐1200,X,88.9,88,ILT,19,F2,WI,8
88.89920499,90.89920499,"31-10""-WI-50-0300",31‐IT‐50‐2300,X,88.9,88,ILT,20,F2,WI,8
88.89920499,90.89920499,"31-10""-WI-50-0400",31‐IT‐50‐3400,X,88.9,88,ILT,21,F2,WI,8
92.50467987,94.50467987,"31-10""-WI-50-0500",31‐FT‐50‐4500,X,92.5,92,Laydown,22,F2,WI,8
84.47421099,86.47421099,"32-10""-PR-10-0201",32‐FT‐10‐0201,X,84.5,84,Initiation,23,F1,PR,9
82.05862467,84.05862467,"32-10""-PR-10-0201",32‐FT‐10‐1201,X,82.1,82,Laydown,24,F1,PR,9
84.47421099,86.47421099,"32-10""-PR-10-0202",32‐FT‐10‐0202,X,84.5,84,Initiation,25,F1,PR,10
82.05862467,84.05862467,"32-10""-PR-10-0202",32‐FT‐10‐1202,X,82.1,82,Laydown,26,F1,PR,10
